Date,Sectors,AUC 1,AUC 2,Difference
15-Apr-23,Automobile and Auto Components,252949,267824,14875
15-Apr-23,Capital Goods,136503,139807,3304
15-Apr-23,Chemicals,94397,97495,3098
15-Apr-23,Construction,81404,84916,3512
15-Apr-23,Construction Materials,82424,83927,1503
15-Apr-23,Consumer Durables,148719,151041,2322
15-Apr-23,Consumer Services,103435,106507,3072
15-Apr-23,Diversified,2761,2955,194
15-Apr-23,Fast Moving Consumer Goods,332767,334006,1239
15-Apr-23,Financial Services,1495819,1564726,68907
15-Apr-23,Forest Materials,1897,1999,102
15-Apr-23,Healthcare,220571,229648,9077
15-Apr-23,Information Technology,489322,483647,-5675
15-Apr-23,"Media, Entertainment & Publication",17472,17432,-40
15-Apr-23,Metals & Mining,130571,138941,8370
15-Apr-23,"Oil, Gas & Consumable Fuels",450559,456307,5748
15-Apr-23,Power,149148,153139,3991
15-Apr-23,Realty,51177,55961,4784
15-Apr-23,Services,77127,79280,2153
15-Apr-23,Telecommunication,111860,113828,1968
15-Apr-23,Textiles,15516,15919,403
15-Apr-23,Utilities,572,572,0
15-Apr-23,Sovereign,0,0,0
15-Apr-23,Others,11559,10702,-857
15-Apr-23,Grand Total,4458528,4590577,132049
15-Apr-24,Automobile and Auto Components,483285,488843,5558
15-Apr-24,Capital Goods,292688,307107,14419
15-Apr-24,Chemicals,98871,101782,2911
15-Apr-24,Construction,147449,143498,-3951
15-Apr-24,Construction Materials,114615,112072,-2543
15-Apr-24,Consumer Durables,196554,193887,-2667
15-Apr-24,Consumer Services,235318,242696,7378
15-Apr-24,Diversified,5971,5983,12
15-Apr-24,Fast Moving Consumer Goods,403421,392846,-10575
15-Apr-24,Financial Services,1860055,1885646,25591
15-Apr-24,Forest Materials,2704,2876,172
15-Apr-24,Healthcare,378195,375427,-2768
15-Apr-24,Information Technology,586165,590231,4066
15-Apr-24,"Media, Entertainment & Publication",12059,12322,263
15-Apr-24,Metals & Mining,194684,204400,9716
15-Apr-24,"Oil, Gas & Consumable Fuels",603522,602737,-785
15-Apr-24,Power,279712,291821,12109
15-Apr-24,Realty,129254,136921,7667
15-Apr-24,Services,135131,136669,1538
15-Apr-24,Telecommunication,202417,205142,2725
15-Apr-24,Textiles,18716,19438,722
15-Apr-24,Utilities,1566,1713,147
15-Apr-24,Sovereign,0,0,0
15-Apr-24,Others,33369,22911,-10458
15-Apr-24,Grand Total,6415723,6476964,61241
30-Apr-23,Automobile and Auto Components,267824,274514,6690
30-Apr-23,Capital Goods,139807,145019,5212
30-Apr-23,Chemicals,97495,100399,2904
30-Apr-23,Construction,84916,89669,4753
30-Apr-23,Construction Materials,83927,83464,-463
30-Apr-23,Consumer Durables,151041,153231,2190
30-Apr-23,Consumer Services,106507,110577,4070
30-Apr-23,Diversified,2955,2987,32
30-Apr-23,Fast Moving Consumer Goods,334006,343937,9931
30-Apr-23,Financial Services,1564726,1595764,31038
30-Apr-23,Forest Materials,1999,2028,29
30-Apr-23,Healthcare,229648,232435,2787
30-Apr-23,Information Technology,483647,462248,-21399
30-Apr-23,"Media, Entertainment & Publication",17432,16792,-640
30-Apr-23,Metals & Mining,138941,142877,3936
30-Apr-23,"Oil, Gas & Consumable Fuels",456307,470227,13920
30-Apr-23,Power,153139,156898,3759
30-Apr-23,Realty,55961,58247,2286
30-Apr-23,Services,79280,82099,2819
30-Apr-23,Telecommunication,113828,119202,5374
30-Apr-23,Textiles,15919,17028,1109
30-Apr-23,Utilities,572,612,40
30-Apr-23,Sovereign,0,0,0
30-Apr-23,Others,10702,10518,-184
30-Apr-23,Grand Total,4590577,4670771,80194
30-Apr-24,Automobile and Auto Components,488843,507247,18404
30-Apr-24,Capital Goods,307107,329054,21947
30-Apr-24,Chemicals,101782,105526,3744
30-Apr-24,Construction,143498,144517,1019
30-Apr-24,Construction Materials,112072,115258,3186
30-Apr-24,Consumer Durables,193887,199567,5680
30-Apr-24,Consumer Services,242696,250517,7821
30-Apr-24,Diversified,5983,6406,423
30-Apr-24,Fast Moving Consumer Goods,392846,400346,7500
30-Apr-24,Financial Services,1885646,1930820,45174
30-Apr-24,Forest Materials,2876,3219,343
30-Apr-24,Healthcare,375427,377756,2329
30-Apr-24,Information Technology,590231,563600,-26631
30-Apr-24,"Media, Entertainment & Publication",12322,12797,475
30-Apr-24,Metals & Mining,204400,209767,5367
30-Apr-24,"Oil, Gas & Consumable Fuels",602737,605043,2306
30-Apr-24,Power,291821,305933,14112
30-Apr-24,Realty,136921,140263,3342
30-Apr-24,Services,136669,145255,8586
30-Apr-24,Telecommunication,205142,229378,24236
30-Apr-24,Textiles,19438,20240,802
30-Apr-24,Utilities,1713,1824,111
30-Apr-24,Sovereign,0,0,0
30-Apr-24,Others,22911,23348,437
30-Apr-24,Grand Total,6476964,6627680,150716
15-Aug-23,Automobile and Auto Components,345726,337762,-7964
15-Aug-23,Capital Goods,203513,203830,317
15-Aug-23,Chemicals,96354,95381,-973
15-Aug-23,Construction,107868,107371,-497
15-Aug-23,Construction Materials,94048,91521,-2527
15-Aug-23,Consumer Durables,182978,181203,-1775
15-Aug-23,Consumer Services,134860,137278,2418
15-Aug-23,Diversified,3318,3399,81
15-Aug-23,Fast Moving Consumer Goods,387151,379965,-7186
15-Aug-23,Financial Services,1771057,1721335,-49722
15-Aug-23,Forest Materials,2082,2043,-39
15-Aug-23,Healthcare,289657,287357,-2300
15-Aug-23,Information Technology,497989,513505,15516
15-Aug-23,"Media, Entertainment & Publication",18973,20677,1704
15-Aug-23,Metals & Mining,168374,162805,-5569
15-Aug-23,"Oil, Gas & Consumable Fuels",496204,496930,726
15-Aug-23,Power,180594,173429,-7165
15-Aug-23,Realty,77502,72169,-5333
15-Aug-23,Services,94576,93404,-1172
15-Aug-23,Telecommunication,140026,136665,-3361
15-Aug-23,Textiles,17389,18698,1309
15-Aug-23,Utilities,914,869,-45
15-Aug-23,Sovereign,0,0,0
15-Aug-23,Others,13136,14557,1421
15-Aug-23,Grand Total,5324288,5252150,-72138
15-Aug-24,Automobile and Auto Components,604398,569870,-34528
15-Aug-24,Capital Goods,416645,397601,-19044
15-Aug-24,Chemicals,120612,114357,-6255
15-Aug-24,Construction,151722,139792,-11930
15-Aug-24,Construction Materials,136945,123438,-13507
15-Aug-24,Consumer Durables,218526,214595,-3931
15-Aug-24,Consumer Services,305138,324457,19319
15-Aug-24,Diversified,7659,7150,-509
15-Aug-24,Fast Moving Consumer Goods,455970,449963,-6007
15-Aug-24,Financial Services,2049902,1963394,-86508
15-Aug-24,Forest Materials,4232,3823,-409
15-Aug-24,Healthcare,436667,442228,5561
15-Aug-24,Information Technology,690232,671704,-18528
15-Aug-24,"Media, Entertainment & Publication",15029,14001,-1028
15-Aug-24,Metals & Mining,221118,202608,-18510
15-Aug-24,"Oil, Gas & Consumable Fuels",636462,613719,-22743
15-Aug-24,Power,334459,318605,-15854
15-Aug-24,Realty,164021,152916,-11105
15-Aug-24,Services,162182,150800,-11382
15-Aug-24,Telecommunication,277007,271071,-5936
15-Aug-24,Textiles,21650,20844,-806
15-Aug-24,Utilities,2353,2385,32
15-Aug-24,Sovereign,0,0,0
15-Aug-24,Others,26351,26603,252
15-Aug-24,Grand Total,7459279,7195926,-263353
15-Aug-24,Automobile and Auto Components,337762,346220,8458
31-Aug-23,Capital Goods,203830,222460,18630
31-Aug-23,Chemicals,95381,99100,3719
31-Aug-23,Construction,107371,110354,2983
31-Aug-23,Construction Materials,91521,93610,2089
31-Aug-23,Consumer Durables,181203,188072,6869
31-Aug-23,Consumer Services,137278,145467,8189
31-Aug-23,Diversified,3399,3692,293
31-Aug-23,Fast Moving Consumer Goods,379965,376836,-3129
31-Aug-23,Financial Services,1722837,1753402,30565
31-Aug-23,Forest Materials,2043,2247,204
31-Aug-23,Healthcare,287474,290022,2548
31-Aug-23,Information Technology,513505,520205,6700
31-Aug-23,"Media, Entertainment & Publication",20677,21230,553
31-Aug-23,Metals & Mining,162805,159358,-3447
31-Aug-23,"Oil, Gas & Consumable Fuels",496930,468400,-28530
31-Aug-23,Power,173429,187379,13950
31-Aug-23,Realty,72133,76449,4316
31-Aug-23,Services,93403,95095,1692
31-Aug-23,Telecommunication,136665,135343,-1322
31-Aug-23,Textiles,18698,19278,580
31-Aug-23,Utilities,869,859,-10
31-Aug-23,Sovereign,0,0,0
31-Aug-23,Others,12973,13272,299
31-Aug-23,Grand Total,5252150,5328349,76199
31-Aug-23,Automobile and Auto Components,569870,591671,21801
31-Aug-24,Capital Goods,397601,405929,8328
31-Aug-24,Chemicals,114357,119830,5473
31-Aug-24,Construction,139792,146176,6384
31-Aug-24,Construction Materials,123438,128776,5338
31-Aug-24,Consumer Durables,214595,229429,14834
31-Aug-24,Consumer Services,324457,337305,12848
31-Aug-24,Diversified,7150,7583,433
31-Aug-24,Fast Moving Consumer Goods,449963,469262,19299
31-Aug-24,Financial Services,1963394,2067809,104415
31-Aug-24,Forest Materials,3823,4062,239
31-Aug-24,Healthcare,442228,469978,27750
31-Aug-24,Information Technology,671704,725132,53428
31-Aug-24,"Media, Entertainment & Publication",14001,14340,339
31-Aug-24,Metals & Mining,202608,214893,12285
31-Aug-24,"Oil, Gas & Consumable Fuels",613719,640756,27037
31-Aug-24,Power,318605,321866,3261
31-Aug-24,Realty,152916,157297,4381
31-Aug-24,Services,150800,162985,12185
31-Aug-24,Telecommunication,271071,294527,23456
31-Aug-24,Textiles,20844,22242,1398
31-Aug-24,Utilities,2385,2404,19
31-Aug-24,Sovereign,0,0,0
31-Aug-24,Others,26603,19325,-7278
31-Aug-24,Grand Total,7195926,7553576,357650
31-Aug-24,Automobiles & Auto Components,188896,183909,-4987
31-Aug-24,Total Financial Services,1357048,1322261,-34787
15-Apr-21,Banks,799410,771012,-28398
15-Apr-21,Other Financial Services1,557638,551249,-6389
15-Apr-21,Capital Goods,160050,158813,-1237
15-Apr-21,Chemicals & Petrochemicals,62031,62598,567
15-Apr-21,Coal,5269,5209,-60
15-Apr-21,Commercial Services & Supplies,28209,30068,1859
15-Apr-21,Construction Materials,88136,86407,-1729
15-Apr-21,Consumer Durables,93769,92810,-959
15-Apr-21,Diversified2,9351,9425,74
15-Apr-21,Diversified Consumer Services,3202,2845,-357
15-Apr-21,Food & Drugs Retailing,0,0,0
15-Apr-21,"Food, Beverages & Tobacco",111730,109688,-2042
15-Apr-21,Forest Materials,1359,1302,-57
15-Apr-21,General Industrials,27069,27133,64
15-Apr-21,Hardware Technology & Equipment,43,39,-4
15-Apr-21,Healthcare Equipment & Supplies,1054,1144,90
15-Apr-21,Healthcare Services,43132,45186,2054
15-Apr-21,"Hotels, Restaurants & Tourism",22682,21266,-1416
15-Apr-21,Household & Personal Products,149554,153635,4081
15-Apr-21,Insurance,99581,100352,771
15-Apr-21,Media,20701,19618,-1083
15-Apr-21,Metals & Mining,74858,85339,10481
15-Apr-21,Oil & Gas,392757,384569,-8188
15-Apr-21,Pharmaceuticals & Biotechnology,152231,161761,9530
15-Apr-21,Real Estate Investment,0,0,0
15-Apr-21,Realty,41341,38541,-2800
15-Apr-21,Retailing,57029,58060,1031
15-Apr-21,Software & Services,554810,557647,2837
15-Apr-21,Telecom Services,83312,86894,3582
15-Apr-21,Telecommunications Equipment,103,97,-6
15-Apr-21,"Textiles, Apparels & Accessories",44204,44067,-137
15-Apr-21,Transportation,56275,57295,1020
15-Apr-21,Airlines,11754,11748,-6
15-Apr-21,Logistics,2299,2205,-94
15-Apr-21,Marine Port & Services,26575,28064,1489
15-Apr-21,Roads & Highways,2298,2189,-109
15-Apr-21,Shipping,1029,997,-32
15-Apr-21,Surface Transportation,36,38,2
15-Apr-21,Transport Related Services,8797,8497,-300
15-Apr-21,Airport Services,3488,3558,70
15-Apr-21,Utilities3,106322,105683,-639
15-Apr-21,Sovereign,0,0,0
15-Apr-21,Others4,23684,22489,-1195
15-Apr-21,Grand Total,4059793,4036149,-23644
15-Apr-21,Automobiles & Auto Components,183254,187788,4534
15-Apr-21,Total Financial Services,1366611,1397008,30397
30-Apr-21,Banks,797471,820536,23065
30-Apr-21,Other Financial Services1,569140,576473,7333
30-Apr-21,Capital Goods,142313,146080,3767
30-Apr-21,Chemicals & Petrochemicals,86729,88596,1867
30-Apr-21,Coal,8004,7953,-51
30-Apr-21,Commercial Services & Supplies,44103,48340,4237
30-Apr-21,Construction Materials,76120,81101,4981
15-Apr-22,Consumer Durables,124693,128255,3562
15-Apr-22,Diversified2,16559,16370,-189
15-Apr-22,Diversified Consumer Services,6760,6647,-113
15-Apr-22,Food & Drugs Retailing,365,353,-12
15-Apr-22,"Food, Beverages & Tobacco",127877,136360,8483
15-Apr-22,Forest Materials,2836,2865,29
15-Apr-22,General Industrials,36122,38225,2103
15-Apr-22,Hardware Technology & Equipment,87,90,3
15-Apr-22,Healthcare Equipment & Supplies,1884,1858,-26
15-Apr-22,Healthcare Services,57513,62024,4511
15-Apr-22,"Hotels, Restaurants & Tourism",29349,30196,847
15-Apr-22,Household & Personal Products,132967,139767,6800
15-Apr-22,Insurance,96512,101052,4540
15-Apr-22,Media,20775,19667,-1108
15-Apr-22,Metals & Mining,126792,129292,2500
15-Apr-22,Oil & Gas,533125,532586,-539
15-Apr-22,Pharmaceuticals & Biotechnology,161649,165675,4026
15-Apr-22,Real Estate Investment,0,0,0
15-Apr-22,Realty,60751,60843,92
15-Apr-22,Retailing,80601,83506,2905
15-Apr-22,Software & Services,689838,655965,-33873
15-Apr-22,Telecom Services,118186,117487,-699
15-Apr-22,Telecommunications Equipment,779,789,10
15-Apr-22,"Textiles, Apparels & Accessories",75713,75910,197
15-Apr-22,Transportation,60647,63203,2556
15-Apr-22,Airlines,13772,12961,-811
15-Apr-22,Logistics,3161,3297,136
15-Apr-22,Marine Port & Services,24158,26794,2636
15-Apr-22,Roads & Highways,2067,2084,17
15-Apr-22,Shipping,1413,1510,97
15-Apr-22,Surface Transportation,124,142,18
15-Apr-22,Transport Related Services,9787,9915,128
15-Apr-22,Airport Services,6164,6500,336
15-Apr-22,Utilities3,208308,250902,42594
15-Apr-22,Sovereign,0,0,0
15-Apr-22,Others4,12693,12385,-308
15-Apr-22,Grand Total,4690514,4789140,98626
30-Apr-21,Automobiles & Auto Components,183909,181702,-2207
30-Apr-21,Total Financial Services,1322261,1326403,4142
30-Apr-21,Banks,771012,779266,8254
30-Apr-21,Other Financial Services1,551249,547137,-4112
30-Apr-21,Capital Goods,158813,154076,-4737
30-Apr-21,Chemicals & Petrochemicals,62598,65435,2837
30-Apr-21,Coal,5209,5416,207
30-Apr-21,Commercial Services & Supplies,30068,30368,300
30-Apr-21,Construction Materials,86407,83912,-2495
30-Apr-21,Consumer Durables,92810,92560,-250
30-Apr-21,Diversified2,9425,9946,521
30-Apr-21,Diversified Consumer Services,2845,2784,-61
30-Apr-21,Food & Drugs Retailing,0,0,0
30-Apr-21,"Food, Beverages & Tobacco",109688,108694,-994
30-Apr-21,Forest Materials,1302,1408,106
30-Apr-21,General Industrials,27133,28854,1721
30-Apr-21,Hardware Technology & Equipment,39,39,0
30-Apr-21,Healthcare Equipment & Supplies,1144,1326,182
30-Apr-21,Healthcare Services,45186,46607,1421
30-Apr-21,"Hotels, Restaurants & Tourism",21266,22823,1557
30-Apr-21,Household & Personal Products,153635,148088,-5547
30-Apr-21,Insurance,100352,101313,961
30-Apr-21,Media,19618,19909,291
30-Apr-21,Metals & Mining,85339,92968,7629
30-Apr-21,Oil & Gas,384569,393319,8750
30-Apr-21,Pharmaceuticals & Biotechnology,161761,167954,6193
30-Apr-21,Real Estate Investment,0,0,0
30-Apr-21,Realty,38541,40049,1508
30-Apr-21,Retailing,58060,59408,1348
30-Apr-21,Software & Services,557647,545666,-11981
30-Apr-21,Telecom Services,86894,86822,-72
30-Apr-21,Telecommunications Equipment,97,102,5
30-Apr-21,"Textiles, Apparels & Accessories",44067,43302,-765
30-Apr-21,Transportation,57295,56686,-609
30-Apr-21,Airlines,11748,12078,330
30-Apr-21,Logistics,2205,2302,97
30-Apr-21,Marine Port & Services,28064,26579,-1485
30-Apr-21,Roads & Highways,2189,2353,164
30-Apr-21,Shipping,997,1070,73
30-Apr-21,Surface Transportation,38,40,2
30-Apr-21,Transport Related Services,8497,8821,324
30-Apr-21,Airport Services,3558,3442,-116
30-Apr-21,Utilities3,105683,111444,5761
30-Apr-21,Sovereign,0,0,0
30-Apr-21,Others4,22489,22892,403
30-Apr-21,Grand Total,4036149,4052276,16127
30-Apr-22,Automobile and Auto Components,213549,221576,8027
30-Apr-22,Capital Goods,100304,97186,-3118
30-Apr-22,Chemicals,104546,102913,-1633
30-Apr-22,Construction,60848,57832,-3016
30-Apr-22,Construction Materials,80950,79797,-1153
30-Apr-22,Consumer Durables,180845,182883,2038
30-Apr-22,Consumer Services,102673,110503,7830
30-Apr-22,Diversified,1644,1608,-36
30-Apr-22,Fast Moving Consumer Goods,275481,277854,2373
30-Apr-22,Financial Services,1504245,1423537,-80708
30-Apr-22,Forest Materials,1298,1229,-69
30-Apr-22,Healthcare,229507,226067,-3440
30-Apr-22,Information Technology,647882,591906,-55976
30-Apr-22,"Media, Entertainment & Publication",25197,22075,-3122
30-Apr-22,Metals & Mining,169554,162166,-7388
30-Apr-22,"Oil, Gas & Consumable Fuels",557377,588240,30863
30-Apr-22,Power,233640,237667,4027
30-Apr-22,Realty,60388,57853,-2535
30-Apr-22,Services,75728,74645,-1083
30-Apr-22,Telecommunication,118037,115643,-2394
30-Apr-22,Textiles,21772,21635,-137
30-Apr-22,Utilities,429,413,-16
30-Apr-22,Sovereign,0,0,0
30-Apr-22,Others,23244,11227,-12017
15-Apr-20,Grand Total,4789140,4666454,-122686
15-Apr-20,Automobiles & Auto Components,88463,99970,11507
15-Apr-20,Total Financial Services,709218,702001,-7217
15-Apr-20,Banks,411179,408631,-2548
15-Apr-20,Other Financial Services1,298039,293370,-4669
15-Apr-20,Capital Goods,56250,61147,4897
15-Apr-20,Chemicals & Petrochemicals,30178,32913,2735
15-Apr-20,Coal,7132,7407,275
15-Apr-20,Commercial Services & Supplies,5471,5770,299
15-Apr-20,Construction Materials,38797,41714,2917
15-Apr-20,Consumer Durables,45909,47189,1280
15-Apr-20,Diversified2,4594,5212,618
15-Apr-20,Diversified Consumer Services,1900,1917,17
15-Apr-20,Food & Drugs Retailing,0,0,0
15-Apr-20,"Food, Beverages & Tobacco",84126,92511,8385
15-Apr-20,Forest Materials,560,615,55
15-Apr-20,General Industrials,9441,9807,366
15-Apr-20,Hardware Technology & Equipment,29,37,8
15-Apr-20,Healthcare Equipment & Supplies,61,60,-1
15-Apr-20,Healthcare Services,16474,17925,1451
15-Apr-20,"Hotels, Restaurants & Tourism",9271,9013,-258
15-Apr-20,Household & Personal Products,105308,116587,11279
15-Apr-20,Insurance,57078,60088,3010
15-Apr-20,Media,12257,13442,1185
15-Apr-20,Metals & Mining,22566,25241,2675
15-Apr-20,Oil & Gas,206943,216076,9133
15-Apr-20,Pharmaceuticals & Biotechnology,89291,108937,19646
15-Apr-20,Real Estate Investment,0,0,0
15-Apr-20,Realty,19275,19557,282
15-Apr-20,Retailing,31849,32787,938
15-Apr-20,Software & Services,273198,269960,-3238
15-Apr-20,Telecom Services,65166,74853,9687
15-Apr-20,Telecommunications Equipment,79,92,13
15-Apr-20,"Textiles, Apparels & Accessories",27978,28250,272
15-Apr-20,Transportation,25338,26685,1347
15-Apr-20,Airlines,5634,5314,-320
15-Apr-20,Logistics,1058,1146,88
15-Apr-20,Marine Port & Services,9573,9998,425
15-Apr-20,Roads & Highways,827,1037,210
15-Apr-20,Shipping,811,773,-38
15-Apr-20,Surface Transportation,27,25,-2
15-Apr-20,Transport Related Services,5432,6316,884
30-Apr-20,Airport Services,1976,2075,99
30-Apr-20,Utilities3,62130,65851,3721
30-Apr-20,Sovereign,0,0,0
30-Apr-20,Others4,11238,11207,-31
30-Apr-20,Grand Total,2117566,2204823,87257
30-Apr-20,Automobiles & Auto Components,99970,107705,7735
30-Apr-20,Total Financial Services,702001,804814,102813
30-Apr-20,Banks,408631,465367,56736
30-Apr-20,Other Financial Services1,293370,339448,46078
30-Apr-20,Capital Goods,61147,64930,3783
30-Apr-20,Chemicals & Petrochemicals,32913,36390,3477
30-Apr-20,Coal,7407,7347,-60
30-Apr-20,Commercial Services & Supplies,5770,5505,-265
30-Apr-20,Construction Materials,41714,41484,-230
30-Apr-20,Consumer Durables,47189,48798,1609
30-Apr-20,Diversified2,5212,5552,340
30-Apr-20,Diversified Consumer Services,1917,1920,3
30-Apr-20,Food & Drugs Retailing,0,0,0
30-Apr-20,"Food, Beverages & Tobacco",92511,91587,-924
30-Apr-20,Forest Materials,615,659,44
30-Apr-20,General Industrials,9807,11062,1255
30-Apr-20,Hardware Technology & Equipment,37,40,3
30-Apr-20,Healthcare Equipment & Supplies,60,54,-6
30-Apr-20,Healthcare Services,17925,18877,952
30-Apr-20,"Hotels, Restaurants & Tourism",9013,9812,799
30-Apr-20,Household & Personal Products,116587,110506,-6081
30-Apr-20,Insurance,60088,65313,5225
30-Apr-20,Media,13442,15893,2451
30-Apr-20,Metals & Mining,25241,26959,1718
30-Apr-20,Oil & Gas,216076,267661,51585
30-Apr-20,Pharmaceuticals & Biotechnology,108937,112611,3674
30-Apr-20,Real Estate Investment,0,0,0
30-Apr-20,Realty,19557,20337,780
30-Apr-20,Retailing,32787,35185,2398
30-Apr-20,Software & Services,269960,301304,31344
30-Apr-20,Telecom Services,74853,75452,599
30-Apr-20,Telecommunications Equipment,92,91,-1
30-Apr-20,"Textiles, Apparels & Accessories",28250,28683,433
30-Apr-20,Transportation,26685,27125,440
30-Apr-20,Airlines,5314,5091,-223
30-Apr-20,Logistics,1146,1145,-1
15-Aug-22,Marine Port & Services,9998,10659,661
15-Aug-22,Roads & Highways,1037,1041,4
15-Aug-22,Shipping,773,912,139
15-Aug-22,Surface Transportation,25,24,-1
15-Aug-22,Transport Related Services,6316,6148,-168
15-Aug-22,Airport Services,2075,2104,29
15-Aug-22,Utilities3,65851,68215,2364
15-Aug-22,Sovereign,0,0,0
15-Aug-22,Others4,11207,11138,-69
15-Aug-22,Grand Total,2204823,2423008,218185
15-Aug-22,Automobile and Auto Components,246894,256873,9979
15-Aug-22,Capital Goods,104987,112090,7103
15-Aug-22,Chemicals,99210,105521,6311
15-Aug-22,Construction,59317,61511,2194
15-Aug-22,Construction Materials,71951,73835,1884
15-Aug-22,Consumer Durables,167725,174196,6471
15-Aug-22,Consumer Services,103088,112456,9368
15-Aug-22,Diversified,1609,1608,-1
15-Aug-22,Fast Moving Consumer Goods,303776,306271,2495
15-Aug-22,Financial Services,1442606,1499934,57328
15-Aug-22,Forest Materials,1330,1534,204
15-Aug-22,Healthcare,208520,210790,2270
15-Aug-22,Information Technology,523255,539161,15906
15-Aug-22,"Media, Entertainment & Publication",22028,22007,-21
15-Aug-22,Metals & Mining,134069,145083,11014
31-Aug-22,"Oil, Gas & Consumable Fuels",537275,563771,26496
31-Aug-22,Power,223753,240660,16907
31-Aug-22,Realty,57943,56602,-1341
31-Aug-22,Services,74405,76271,1866
31-Aug-22,Telecommunication,107869,110564,2695
31-Aug-22,Textiles,20812,21007,195
31-Aug-22,Utilities,362,375,13
31-Aug-22,Sovereign,0,0,0
31-Aug-22,Others,9674,9782,108
31-Aug-22,Grand Total,4522458,4701902,179444
31-Aug-22,Automobile and Auto Components,256873,265918,9045
31-Aug-22,Capital Goods,112090,117775,5685
31-Aug-22,Chemicals,105521,107663,2142
31-Aug-22,Construction,61511,64691,3180
31-Aug-22,Construction Materials,73835,75929,2094
31-Aug-22,Consumer Durables,174196,179276,5080
31-Aug-22,Consumer Services,112456,116387,3931
31-Aug-22,Diversified,1608,1658,50
31-Aug-22,Fast Moving Consumer Goods,306271,317335,11064
31-Aug-22,Financial Services,1499934,1519470,19536
31-Aug-22,Forest Materials,1534,1666,132
31-Aug-22,Healthcare,210790,219816,9026
31-Aug-22,Information Technology,539161,511536,-27625
31-Aug-22,"Media, Entertainment & Publication",22007,22254,247
31-Aug-22,Metals & Mining,145083,150326,5243
31-Aug-22,"Oil, Gas & Consumable Fuels",563771,572737,8966
31-Aug-22,Power,240660,263278,22618
