Date,Sectors,AUC 1,AUC 2,Difference
30-Jun-21,Commercial Services & Supplies,39636,38919,-717
30-Jun-21,Construction Materials,90626,90919,293
30-Jun-21,Consumer Durables,107947,121776,13829
30-Jun-21,Diversified2,11423,11705,282
30-Jun-21,Diversified Consumer Services,3141,3146,5
30-Jun-21,Food & Drugs Retailing,1,1,0
30-Jun-21,"Food, Beverages & Tobacco",114041,116113,2072
30-Jun-21,Forest Materials,1695,1789,94
30-Jun-21,General Industrials,34663,36096,1433
30-Jun-21,Hardware Technology & Equipment,27,34,7
30-Jun-21,Healthcare Equipment & Supplies,1310,1449,139
30-Jun-21,Healthcare Services,48736,51701,2965
30-Jun-21,"Hotels, Restaurants & Tourism",26360,25617,-743
30-Jun-21,Household & Personal Products,162816,164386,1570
30-Jun-21,Insurance,106561,109880,3319
30-Jun-21,Media,22151,20521,-1630
30-Jun-21,Metals & Mining,101385,98177,-3208
30-Jun-21,Oil & Gas,447966,410131,-37835
30-Jun-21,Pharmaceuticals & Biotechnology,180249,180523,274
30-Jun-21,Real Estate Investment,0,0,0
30-Jun-21,Realty,45862,44119,-1743
30-Jun-21,Retailing,63371,63138,-233
30-Jun-21,Software & Services,592586,616380,23794
30-Jun-21,Telecom Services,87947,84052,-3895
30-Jun-21,Telecommunications Equipment,193,255,62
30-Jun-21,"Textiles, Apparels & Accessories",49119,48880,-239
30-Jun-21,Transportation,63075,59168,-3907
30-Jun-21,Airlines,13423,12812,-611
30-Jun-21,Logistics,2852,2784,-68
30-Jun-21,Marine Port & Services,27661,23799,-3862
30-Jun-21,Roads & Highways,2456,2641,185
30-Jun-21,Shipping,1550,1491,-59
30-Jun-21,Surface Transportation,92,89,-3
30-Jun-21,Transport Related Services,10432,10731,299
30-Jun-21,Airport Services,4610,4821,211
30-Jun-21,Utilities3,135579,122550,-13029
30-Jun-21,Sovereign,0,0,0
30-Jun-21,Others4,30726,27724,-3002
30-Jun-21,Grand Total,4467296,4397960,-69336
30-Jun-22,Automobile and Auto Components,220158,229758,9600
30-Jun-22,Capital Goods,92798,92721,-77
30-Jun-22,Chemicals,91631,87412,-4219
30-Jun-22,Construction,51817,50669,-1148
30-Jun-22,Construction Materials,63271,63013,-258
30-Jun-22,Consumer Durables,147510,143724,-3786
30-Jun-22,Consumer Services,94901,90969,-3932
30-Jun-22,Diversified,1481,1546,65
30-Jun-22,Fast Moving Consumer Goods,258961,265865,6904
30-Jun-22,Financial Services,1285636,1284931,-705
30-Jun-22,Forest Materials,1181,1195,14
30-Jun-22,Healthcare,198030,195204,-2826
30-Jun-22,Information Technology,509373,510308,935
30-Jun-22,"Media, Entertainment & Publication",19451,18994,-457
30-Jun-22,Metals & Mining,123414,114936,-8478
30-Jun-22,"Oil, Gas & Consumable Fuels",545683,538924,-6759
30-Jun-22,Power,187532,195851,8319
30-Jun-22,Realty,50316,49682,-634
30-Jun-22,Services,69091,65848,-3243
30-Jun-22,Telecommunication,103657,102684,-973
30-Jun-22,Textiles,18647,17992,-655
30-Jun-22,Utilities,333,336,3
30-Jun-22,Sovereign,0,0,0
30-Jun-22,Others,15736,9470,-6266
30-Jun-22,Grand Total,4150609,4132029,-18580
15-Mar-23,Automobile and Auto Components,261143,254734,-6409
15-Mar-23,Capital Goods,135845,134467,-1378
15-Mar-23,Chemicals,92854,92805,-49
15-Mar-23,Construction,77000,80682,3682
15-Mar-23,Construction Materials,77897,77233,-664
15-Mar-23,Consumer Durables,149407,147908,-1499
15-Mar-23,Consumer Services,102991,101126,-1865
15-Mar-23,Diversified,2814,2800,-14
15-Mar-23,Fast Moving Consumer Goods,323108,320226,-2882
15-Mar-23,Financial Services,1494557,1448187,-46370
15-Mar-23,Forest Materials,1771,1787,16
15-Mar-23,Healthcare,219723,218278,-1445
15-Mar-23,Information Technology,511446,491209,-20237
15-Mar-23,"Media, Entertainment & Publication",17107,16821,-286
15-Mar-23,Metals & Mining,118820,134240,15420
15-Mar-23,"Oil, Gas & Consumable Fuels",450791,442430,-8361
15-Mar-23,Power,123729,146019,22290
15-Mar-23,Realty,50954,50104,-850
15-Mar-23,Services,68240,78395,10155
15-Mar-23,Telecommunication,113635,113247,-388
15-Mar-23,Textiles,16680,16355,-325
15-Mar-23,Utilities,528,543,15
15-Mar-23,Sovereign,0,0,0
15-Mar-23,Others,10016,10069,53
15-Mar-23,Grand Total,4421059,4379667,-41392
15-Mar-24,Automobile and Auto Components,451765,438942,-12823
15-Mar-24,Capital Goods,292549,284568,-7981
15-Mar-24,Chemicals,95726,96548,822
15-Mar-24,Construction,136492,137120,628
15-Mar-24,Construction Materials,116166,112688,-3478
15-Mar-24,Consumer Durables,196896,193147,-3749
15-Mar-24,Consumer Services,218267,218516,249
15-Mar-24,Diversified,4174,3907,-267
15-Mar-24,Fast Moving Consumer Goods,402006,411273,9267
15-Mar-24,Financial Services,1821845,1829059,7214
15-Mar-24,Forest Materials,2729,2637,-92
15-Mar-24,Healthcare,376424,361725,-14699
15-Mar-24,Information Technology,651058,644912,-6146
15-Mar-24,"Media, Entertainment & Publication",13719,12261,-1458
15-Mar-24,Metals & Mining,186641,184179,-2462
15-Mar-24,"Oil, Gas & Consumable Fuels",600850,579763,-21087
15-Mar-24,Power,283009,272974,-10035
15-Mar-24,Realty,128021,120817,-7204
15-Mar-24,Services,129424,129363,-61
15-Mar-24,Telecommunication,178286,197678,19392
15-Mar-24,Textiles,19254,18667,-587
15-Mar-24,Utilities,1212,1102,-110
15-Mar-24,Sovereign,0,0,0
15-Mar-24,Others,21185,20822,-363
15-Mar-24,Grand Total,6327698,6272669,-55029
31-Mar-23,Automobile and Auto Components,254734,252949,-1785
31-Mar-23,Capital Goods,134467,136503,2036
31-Mar-23,Chemicals,92805,94397,1592
31-Mar-23,Construction,80682,81404,722
31-Mar-23,Construction Materials,77233,82424,5191
31-Mar-23,Consumer Durables,147908,148719,811
31-Mar-23,Consumer Services,101126,103435,2309
31-Mar-23,Diversified,2800,2761,-39
31-Mar-23,Fast Moving Consumer Goods,320226,332767,12541
31-Mar-23,Financial Services,1448187,1495819,47632
31-Mar-23,Forest Materials,1787,1897,110
31-Mar-23,Healthcare,218278,220571,2293
31-Mar-23,Information Technology,491209,489322,-1887
31-Mar-23,"Media, Entertainment & Publication",16821,17472,651
31-Mar-23,Metals & Mining,134240,130571,-3669
31-Mar-23,"Oil, Gas & Consumable Fuels",442430,450559,8129
31-Mar-23,Power,146019,149148,3129
31-Mar-23,Realty,50104,51177,1073
31-Mar-23,Services,78395,77127,-1268
31-Mar-23,Telecommunication,113247,111860,-1387
31-Mar-23,Textiles,16355,15516,-839
31-Mar-23,Utilities,543,572,29
31-Mar-23,Sovereign,0,0,0
31-Mar-23,Others,10069,11559,1490
31-Mar-23,Grand Total,4379667,4458528,78861
31-Mar-24,Automobile and Auto Components,438942,483285,44343
31-Mar-24,Capital Goods,284568,292688,8120
31-Mar-24,Chemicals,96548,98871,2323
31-Mar-24,Construction,137120,147449,10329
31-Mar-24,Construction Materials,112688,114615,1927
31-Mar-24,Consumer Durables,193147,196554,3407
31-Mar-24,Consumer Services,218516,235318,16802
31-Mar-24,Diversified,3907,5971,2064
31-Mar-24,Fast Moving Consumer Goods,411273,403421,-7852
31-Mar-24,Financial Services,1829059,1860055,30996
31-Mar-24,Forest Materials,2637,2704,67
31-Mar-24,Healthcare,361725,378195,16470
31-Mar-24,Information Technology,644912,586165,-58747
31-Mar-24,"Media, Entertainment & Publication",12261,12059,-202
31-Mar-24,Metals & Mining,184179,194684,10505
31-Mar-24,"Oil, Gas & Consumable Fuels",579763,603522,23759
31-Mar-24,Power,272974,279712,6738
31-Mar-24,Realty,120817,129254,8437
31-Mar-24,Services,129363,135131,5768
31-Mar-24,Telecommunication,197678,202417,4739
31-Mar-24,Textiles,18667,18716,49
31-Mar-24,Utilities,1102,1566,464
31-Mar-24,Sovereign,0,0,0
31-Mar-24,Others,20822,33369,12547
31-Mar-24,Grand Total,6272669,6415723,143054
15-May-23,Automobile and Auto Components,274514,296814,22300
15-May-23,Capital Goods,145019,153117,8098
15-May-23,Chemicals,100399,99955,-444
15-May-23,Construction,89669,85575,-4094
15-May-23,Construction Materials,83464,85809,2345
15-May-23,Consumer Durables,153231,161680,8449
15-May-23,Consumer Services,110577,114962,4385
15-May-23,Diversified,2987,3097,110
15-May-23,Fast Moving Consumer Goods,343937,359793,15856
15-May-23,Financial Services,1595764,1640061,44297
15-May-23,Forest Materials,2028,2180,152
15-May-23,Healthcare,232435,238328,5893
15-May-23,Information Technology,462248,469808,7560
15-May-23,"Media, Entertainment & Publication",16792,16377,-415
15-May-23,Metals & Mining,142877,140598,-2279
15-May-23,"Oil, Gas & Consumable Fuels",470227,480895,10668
15-May-23,Power,156898,152669,-4229
15-May-23,Realty,58247,62413,4166
15-May-23,Services,82099,86322,4223
15-May-23,Telecommunication,119202,119241,39
15-May-23,Textiles,17028,17554,526
15-May-23,Utilities,612,667,55
15-May-23,Sovereign,0,0,0
15-May-23,Others,10518,10803,285
15-May-23,Grand Total,4670771,4798718,127947
15-May-24,Automobile and Auto Components,507247,513478,6231
15-May-24,Capital Goods,329054,349516,20462
15-May-24,Chemicals,105526,101643,-3883
15-May-24,Construction,144517,134689,-9828
15-May-24,Construction Materials,115258,112149,-3109
15-May-24,Consumer Durables,199567,192396,-7171
15-May-24,Consumer Services,250517,250079,-438
15-May-24,Diversified,6406,5888,-518
15-May-24,Fast Moving Consumer Goods,400346,403890,3544
15-May-24,Financial Services,1930820,1846342,-84478
15-May-24,Forest Materials,3219,3136,-83
15-May-24,Healthcare,377756,374931,-2825
15-May-24,Information Technology,563600,557013,-6587
15-May-24,"Media, Entertainment & Publication",12797,12089,-708
15-May-24,Metals & Mining,209767,212099,2332
15-May-24,"Oil, Gas & Consumable Fuels",605043,584631,-20412
15-May-24,Power,305933,307533,1600
15-May-24,Realty,140263,138643,-1620
15-May-24,Services,145255,147492,2237
15-May-24,Telecommunication,229378,227512,-1866
15-May-24,Textiles,20240,20427,187
15-May-24,Utilities,1824,1773,-51
15-May-24,Sovereign,0,0,0
15-May-24,Others,23348,31993,8645
15-May-24,Grand Total,6627680,6529339,-98341
31-May-23,Automobile and Auto Components,296814,306665,9851
31-May-23,Capital Goods,153117,160343,7226
31-May-23,Chemicals,99955,101104,1149
31-May-23,Construction,85575,84330,-1245
31-May-23,Construction Materials,85809,88096,2287
31-May-23,Consumer Durables,161680,166522,4842
31-May-23,Consumer Services,114962,120637,5675
31-May-23,Diversified,3097,3202,105
31-May-23,Fast Moving Consumer Goods,359793,370221,10428
31-May-23,Financial Services,1640061,1646306,6245
31-May-23,Forest Materials,2180,2044,-136
31-May-23,Healthcare,238328,245375,7047
31-May-23,Information Technology,469808,487869,18061
31-May-23,"Media, Entertainment & Publication",16377,16096,-281
31-May-23,Metals & Mining,140598,150237,9639
31-May-23,"Oil, Gas & Consumable Fuels",480895,476503,-4392
31-May-23,Power,152669,152006,-663
31-May-23,Realty,62413,58352,-4061
31-May-23,Services,86322,87557,1235
31-May-23,Telecommunication,119241,127474,8233
31-May-23,Textiles,17554,16706,-848
31-May-23,Utilities,667,707,40
31-May-23,Sovereign,0,0,0
31-May-23,Others,10803,11277,474
31-May-23,Grand Total,4798718,4879628,80910
31-May-24,Automobile and Auto Components,513478,523996,10518
31-May-24,Capital Goods,349516,375815,26299
31-May-24,Chemicals,101643,100951,-692
31-May-24,Construction,134689,146151,11462
31-May-24,Construction Materials,112149,112786,637
31-May-24,Consumer Durables,192396,197892,5496
31-May-24,Consumer Services,250079,243750,-6329
31-May-24,Diversified,5888,5995,107
31-May-24,Fast Moving Consumer Goods,403890,397024,-6866
31-May-24,Financial Services,1846342,1896907,50565
31-May-24,Forest Materials,3136,3209,73
31-May-24,Healthcare,374931,369812,-5119
31-May-24,Information Technology,557013,542783,-14230
31-May-24,"Media, Entertainment & Publication",12089,12621,532
31-May-24,Metals & Mining,212099,222899,10800
31-May-24,"Oil, Gas & Consumable Fuels",584631,589641,5010
31-May-24,Power,307533,317445,9912
31-May-24,Realty,138643,147421,8778
31-May-24,Services,147492,147341,-151
31-May-24,Telecommunication,227512,239560,12048
31-May-24,Textiles,20427,20543,116
31-May-24,Utilities,1773,1776,3
31-May-24,Sovereign,0,0,0
31-May-24,Others,31993,24290,-7703
31-May-24,Grand Total,6529339,6640608,111269
15-Mar-21,Automobiles & Auto Components,191159,197783,6624
15-Mar-21,Total Financial Services,1395789,1411893,16104
15-Mar-21,Banks,829312,842742,13430
15-Mar-21,Other Financial Services1,566477,569151,2674
15-Mar-21,Capital Goods,163588,165407,1819
15-Mar-21,Chemicals & Petrochemicals,55327,58585,3258
15-Mar-21,Coal,6462,6086,-376
15-Mar-21,Commercial Services & Supplies,23504,24852,1348
15-Mar-21,Construction Materials,77752,83535,5783
15-Mar-21,Consumer Durables,88364,91653,3289
15-Mar-21,Diversified2,9362,9476,114
15-Mar-21,Diversified Consumer Services,3040,3164,124
15-Mar-21,Food & Drugs Retailing,1,0,-1
15-Mar-21,"Food, Beverages & Tobacco",106053,106072,19
15-Mar-21,Forest Materials,1533,1461,-72
15-Mar-21,General Industrials,27389,29337,1948
15-Mar-21,Hardware Technology & Equipment,52,51,-1
15-Mar-21,Healthcare Equipment & Supplies,766,1058,292
15-Mar-21,Healthcare Services,41543,42340,797
15-Mar-21,"Hotels, Restaurants & Tourism",23440,23541,101
15-Mar-21,Household & Personal Products,134906,138754,3848
15-Mar-21,Insurance,96264,98762,2498
15-Mar-21,Media,20478,22247,1769
15-Mar-21,Metals & Mining,71094,73708,2614
15-Mar-21,Oil & Gas,396896,419998,23102
15-Mar-21,Pharmaceuticals & Biotechnology,151148,151433,285
15-Mar-21,Real Estate Investment,0,0,0
15-Mar-21,Realty,39422,39471,49
15-Mar-21,Retailing,62299,63245,946
15-Mar-21,Software & Services,513009,551499,38490
15-Mar-21,Telecom Services,87430,83381,-4049
15-Mar-21,Telecommunications Equipment,105,103,-2
15-Mar-21,"Textiles, Apparels & Accessories",40491,42515,2024
15-Mar-21,Transportation,54823,57137,2314
15-Mar-21,Airlines,10928,11429,501
15-Mar-21,Logistics,2109,2360,251
15-Mar-21,Marine Port & Services,26521,27766,1245
15-Mar-21,Roads & Highways,2496,2459,-37
15-Mar-21,Shipping,1017,1068,51
15-Mar-21,Surface Transportation,30,31,1
15-Mar-21,Transport Related Services,8159,8200,41
15-Mar-21,Airport Services,3563,3824,261
15-Mar-21,Utilities3,100713,105792,5079
15-Mar-21,Sovereign,0,0,0
15-Mar-21,Others4,25405,16734,-8671
15-Mar-21,Grand Total,4009610,4121072,111462
15-Mar-22,Automobiles & Auto Components,192841,174340,-18501
15-Mar-22,Total Financial Services,1378160,1302984,-75176
15-Mar-22,Banks,813917,769090,-44827
15-Mar-22,Other Financial Services1,564243,533894,-30349
15-Mar-22,Capital Goods,145593,137306,-8287
15-Mar-22,Chemicals & Petrochemicals,76958,80961,4003
15-Mar-22,Coal,7358,7439,81
15-Mar-22,Commercial Services & Supplies,37773,38473,700
15-Mar-22,Construction Materials,81145,72561,-8584
15-Mar-22,Consumer Durables,130664,120789,-9875
15-Mar-22,Diversified2,14900,14814,-86
15-Mar-22,Diversified Consumer Services,6360,6113,-247
15-Mar-22,Food & Drugs Retailing,385,345,-40
15-Mar-22,"Food, Beverages & Tobacco",118455,122056,3601
15-Mar-22,Forest Materials,2193,2447,254
15-Mar-22,General Industrials,35218,34461,-757
15-Mar-22,Hardware Technology & Equipment,78,78,0
15-Mar-22,Healthcare Equipment & Supplies,1584,1632,48
15-Mar-22,Healthcare Services,58171,58649,478
15-Mar-22,"Hotels, Restaurants & Tourism",29971,26933,-3038
15-Mar-22,Household & Personal Products,142949,134732,-8217
15-Mar-22,Insurance,96240,91225,-5015
15-Mar-22,Media,17467,18613,1146
15-Mar-22,Metals & Mining,115121,116478,1357
15-Mar-22,Oil & Gas,479755,478572,-1183
15-Mar-22,Pharmaceuticals & Biotechnology,153432,157963,4531
15-Mar-22,Real Estate Investment,0,0,0
15-Mar-22,Realty,57520,55259,-2261
15-Mar-22,Retailing,80639,79877,-762
15-Mar-22,Software & Services,641185,665220,24035
15-Mar-22,Telecom Services,108790,109836,1046
15-Mar-22,Telecommunications Equipment,738,739,1
15-Mar-22,"Textiles, Apparels & Accessories",74662,75109,447
15-Mar-22,Transportation,56854,55841,-1013
15-Mar-22,Airlines,13095,12398,-697
15-Mar-22,Logistics,2254,2252,-2
15-Mar-22,Marine Port & Services,23079,22984,-95
15-Mar-22,Roads & Highways,1988,1904,-84
15-Mar-22,Shipping,1299,1396,97
15-Mar-22,Surface Transportation,125,117,-8
15-Mar-22,Transport Related Services,8825,8586,-239
15-Mar-22,Airport Services,6189,6204,15
15-Mar-22,Utilities3,195759,195707,-52
15-Mar-22,Sovereign,0,0,0
15-Mar-22,Others4,15938,16725,787
15-Mar-22,Grand Total,4554857,4454274,-100583
31-Mar-21,Automobiles & Auto Components,197783,188896,-8887
31-Mar-21,Total Financial Services,1411893,1357048,-54845
31-Mar-21,Banks,842742,799410,-43332
31-Mar-21,Other Financial Services1,569151,557638,-11513
31-Mar-21,Capital Goods,165407,160050,-5357
31-Mar-21,Chemicals & Petrochemicals,58585,62031,3446
31-Mar-21,Coal,6086,5269,-817
31-Mar-21,Commercial Services & Supplies,24852,28209,3357
31-Mar-21,Construction Materials,83535,88136,4601
31-Mar-21,Consumer Durables,91653,93769,2116
31-Mar-21,Diversified2,9476,9351,-125
31-Mar-21,Diversified Consumer Services,3164,3202,38
31-Mar-21,Food & Drugs Retailing,0,0,0
31-Mar-21,"Food, Beverages & Tobacco",106072,111730,5658
31-Mar-21,Forest Materials,1461,1359,-102
31-Mar-21,General Industrials,29337,27069,-2268
31-Mar-21,Hardware Technology & Equipment,51,43,-8
31-Mar-21,Healthcare Equipment & Supplies,1058,1054,-4
31-Mar-21,Healthcare Services,42340,43132,792
31-Mar-21,"Hotels, Restaurants & Tourism",23541,22682,-859
31-Mar-21,Household & Personal Products,138754,149554,10800
31-Mar-21,Insurance,98762,99581,819
31-Mar-21,Media,22247,20701,-1546
31-Mar-21,Metals & Mining,73708,74858,1150
31-Mar-21,Oil & Gas,419998,392757,-27241
31-Mar-21,Pharmaceuticals & Biotechnology,151433,152231,798
31-Mar-21,Real Estate Investment,0,0,0
31-Mar-21,Realty,39471,41341,1870
31-Mar-21,Retailing,63245,57029,-6216
31-Mar-21,Software & Services,551499,554810,3311
31-Mar-21,Telecom Services,83381,83312,-69
31-Mar-21,Telecommunications Equipment,103,103,0
31-Mar-21,"Textiles, Apparels & Accessories",42515,44204,1689
31-Mar-21,Transportation,57137,56275,-862
31-Mar-21,Airlines,11429,11754,325
31-Mar-21,Logistics,2360,2299,-61
31-Mar-21,Marine Port & Services,27766,26575,-1191
31-Mar-21,Roads & Highways,2459,2298,-161
31-Mar-21,Shipping,1068,1029,-39
31-Mar-21,Surface Transportation,31,36,5
31-Mar-21,Transport Related Services,8200,8797,597
31-Mar-21,Airport Services,3824,3488,-336
31-Mar-21,Utilities3,105792,106322,530
31-Mar-21,Sovereign,0,0,0
31-Mar-21,Others4,16734,23684,6950
31-Mar-21,Grand Total,4121072,4059793,-61279
31-Mar-22,Automobiles & Auto Components,174340,183254,8914
31-Mar-22,Total Financial Services,1302984,1366611,63627
31-Mar-22,Banks,769090,797471,28381
31-Mar-22,Other Financial Services1,533894,569140,35246
31-Mar-22,Capital Goods,137306,142313,5007
31-Mar-22,Chemicals & Petrochemicals,80961,86729,5768
31-Mar-22,Coal,7439,8004,565
31-Mar-22,Commercial Services & Supplies,38473,44103,5630
31-Mar-22,Construction Materials,72561,76120,3559
31-Mar-22,Consumer Durables,120789,124693,3904
31-Mar-22,Diversified2,14814,16559,1745
31-Mar-22,Diversified Consumer Services,6113,6760,647
31-Mar-22,Food & Drugs Retailing,345,365,20
31-Mar-22,"Food, Beverages & Tobacco",122056,127877,5821
31-Mar-22,Forest Materials,2447,2836,389
31-Mar-22,General Industrials,34461,36122,1661
31-Mar-22,Hardware Technology & Equipment,78,87,9
31-Mar-22,Healthcare Equipment & Supplies,1632,1884,252
31-Mar-22,Healthcare Services,58649,57513,-1136
31-Mar-22,"Hotels, Restaurants & Tourism",26933,29349,2416
31-Mar-22,Household & Personal Products,134732,132967,-1765
31-Mar-22,Insurance,91225,96512,5287
31-Mar-22,Media,18613,20775,2162
31-Mar-22,Metals & Mining,116478,126792,10314
31-Mar-22,Oil & Gas,478572,533125,54553
31-Mar-22,Pharmaceuticals & Biotechnology,157963,161649,3686
31-Mar-22,Real Estate Investment,0,0,0
31-Mar-22,Realty,55259,60751,5492
31-Mar-22,Retailing,79877,80601,724
31-Mar-22,Software & Services,665220,689838,24618
31-Mar-22,Telecom Services,109836,118186,8350
31-Mar-22,Telecommunications Equipment,739,779,40
31-Mar-22,"Textiles, Apparels & Accessories",75109,75713,604
31-Mar-22,Transportation,55841,60647,4806
31-Mar-22,Airlines,12398,13772,1374
31-Mar-22,Logistics,2252,3161,909
31-Mar-22,Marine Port & Services,22984,24158,1174
31-Mar-22,Roads & Highways,1904,2067,163
31-Mar-22,Shipping,1396,1413,17
31-Mar-22,Surface Transportation,117,124,7
31-Mar-22,Transport Related Services,8586,9787,1201
31-Mar-22,Airport Services,6204,6164,-40
31-Mar-22,Utilities3,195707,208308,12601
31-Mar-22,Sovereign,0,0,0
31-Mar-22,Others4,16725,12693,-4032
31-Mar-22,Grand Total,4454274,4690514,236240
15-Mar-20,Automobiles & Auto Components,131467,118704,-12763
15-Mar-20,Total Financial Services,1089379,952460,-136919
15-Mar-20,Banks,638225,548765,-89460
15-Mar-20,Other Financial Services1,451154,403695,-47459
15-Mar-20,Capital Goods,82518,71472,-11046
15-Mar-20,Chemicals & Petrochemicals,42379,36074,-6305
15-Mar-20,Coal,8662,7772,-890
15-Mar-20,Commercial Services & Supplies,8591,6637,-1954
15-Mar-20,Construction Materials,55591,48582,-7009
15-Mar-20,Consumer Durables,53024,50188,-2836
15-Mar-20,Diversified2,6818,6100,-718
15-Mar-20,Diversified Consumer Services,2721,2532,-189
15-Mar-20,Food & Drugs Retailing,0,0,0
15-Mar-20,"Food, Beverages & Tobacco",100171,86272,-13899
15-Mar-20,Forest Materials,863,686,-177
15-Mar-20,General Industrials,14578,12569,-2009
15-Mar-20,Hardware Technology & Equipment,56,41,-15
15-Mar-20,Healthcare Equipment & Supplies,83,73,-10
15-Mar-20,Healthcare Services,22894,20344,-2550
15-Mar-20,"Hotels, Restaurants & Tourism",13615,11411,-2204
15-Mar-20,Household & Personal Products,107712,99263,-8449
15-Mar-20,Insurance,72516,63533,-8983
15-Mar-20,Media,22024,17387,-4637
15-Mar-20,Metals & Mining,37171,30397,-6774
15-Mar-20,Oil & Gas,262866,216216,-46650
15-Mar-20,Pharmaceuticals & Biotechnology,100330,92940,-7390
15-Mar-20,Real Estate Investment,0,0,0
15-Mar-20,Realty,30581,25600,-4981
15-Mar-20,Retailing,43172,36522,-6650
15-Mar-20,Software & Services,325215,287591,-37624
15-Mar-20,Telecom Services,80612,77847,-2765
15-Mar-20,Telecommunications Equipment,125,94,-31
15-Mar-20,"Textiles, Apparels & Accessories",38925,33941,-4984
15-Mar-20,Transportation,36051,29078,-6973
15-Mar-20,Airlines,7484,5536,-1948
15-Mar-20,Logistics,1636,1373,-263
15-Mar-20,Marine Port & Services,13825,11828,-1997
15-Mar-20,Roads & Highways,1366,1154,-212
15-Mar-20,Shipping,968,910,-58
15-Mar-20,Surface Transportation,34,26,-8
15-Mar-20,Transport Related Services,8356,6220,-2136
15-Mar-20,Airport Services,2383,2031,-352
15-Mar-20,Utilities3,78404,68379,-10025
15-Mar-20,Sovereign,0,0,0
15-Mar-20,Others4,17819,16082,-1737
15-Mar-20,Grand Total,2886931,2526786,-360145
31-Mar-20,Automobiles & Auto Components,118704,88463,-30241
31-Mar-20,Total Financial Services,952956,709218,-243738
